iter	Logloss
0	0.6829754795
1	0.6725606572
2	0.6644627742
3	0.6588295005
4	0.6525870566
5	0.644510087
6	0.6384054967
7	0.6300520485
8	0.6217438558
9	0.615204833
10	0.6077212446
11	0.6001635224
12	0.5930030516
13	0.5883051839
14	0.5837142927
15	0.5794286165
16	0.5735935322
17	0.5667454651
18	0.5606548642
19	0.5549506976
20	0.5503240877
21	0.5447542389
22	0.5404504639
23	0.5366944982
24	0.5300570664
25	0.5239740383
26	0.5193605899
27	0.514043119
28	0.5099805561
29	0.5062649312
30	0.5012425557
31	0.4984347329
32	0.495048373
33	0.4914402615
34	0.4867879155
35	0.4825117289
36	0.4786918569
37	0.474835043
38	0.4728687094
39	0.4681195086
40	0.464842705
41	0.4614364134
42	0.457222678
43	0.4545549082
44	0.4505534098
45	0.4482098421
46	0.4462345499
47	0.4435218431
48	0.4401709939
49	0.4367896441
50	0.4334932408
51	0.4299548299
52	0.4274349034
53	0.4245589054
54	0.4223983211
55	0.4191383188
56	0.4169074509
57	0.4139325308
58	0.4123508715
59	0.4108125765
60	0.4082721622
61	0.4061046384
62	0.4035150015
63	0.4009341344
64	0.3993974776
65	0.3974514849
66	0.3958993129
67	0.394195465
68	0.3913991273
69	0.3885129218
70	0.3869765041
71	0.3847259876
72	0.3825713128
73	0.3812828419
74	0.3800101211
75	0.37804802
76	0.3762791662
77	0.3754731166
78	0.3735627546
79	0.3719481467
80	0.3699347789
81	0.3677525816
82	0.3656434109
83	0.3642499729
84	0.3623928112
85	0.360320901
86	0.3589363244
87	0.3572821188
88	0.3563270955
89	0.3552692127
90	0.3541523954
91	0.353064729
92	0.3521019716
93	0.3512174049
94	0.3496057238
95	0.3483970374
96	0.3472956511
97	0.3462456723
98	0.3444910039
99	0.3429258304
100	0.3413199772
101	0.3400941765
102	0.3388229217
103	0.3380384266
104	0.3369376464
105	0.3351884598
106	0.3343235107
107	0.3326347472
108	0.3311726021
109	0.3293918191
110	0.3280922767
111	0.3264677502
112	0.3254520738
113	0.3245008605
114	0.3233350563
115	0.32196814
116	0.3210862728
117	0.3201072914
118	0.3189978976
119	0.3179535928
120	0.3171823618
121	0.3163399326
122	0.315076263
123	0.313845409
124	0.3127115217
125	0.3115594848
126	0.3102384234
127	0.3091306185
128	0.3075705848
129	0.306284181
130	0.3051570424
131	0.3044093622
132	0.3038459779
133	0.3030672268
134	0.3020273307
135	0.3011934454
136	0.3002360785
137	0.2993877463
138	0.2985968376
139	0.2975046357
140	0.2968314026
141	0.2955683056
142	0.294984734
143	0.2939320456
144	0.2930376683
145	0.292249568
146	0.2911501407
147	0.2905496303
148	0.2895335082
149	0.2885432037
150	0.2879129013
151	0.2873985281
152	0.2863455616
153	0.2851837481
154	0.2844707573
155	0.2834758855
156	0.2828635387
157	0.2818227503
158	0.2806683555
159	0.2799742461
160	0.2790570998
161	0.2781999049
162	0.2774705485
163	0.2765763867
164	0.2757750473
165	0.2750197275
166	0.2740073713
167	0.2733691816
168	0.2724504292
169	0.2716635443
170	0.2705121295
171	0.2696819331
172	0.2691669237
173	0.2682645389
174	0.2677370218
175	0.2669801539
176	0.2660396229
177	0.2652379086
178	0.2646784997
179	0.2639825855
180	0.2633824975
181	0.2628331001
182	0.2622802638
183	0.2614649594
184	0.2605744573
185	0.2598093538
186	0.2592544992
187	0.2586138416
188	0.2580347926
189	0.2574616439
190	0.2568202995
191	0.2558139441
192	0.2553936968
193	0.2547170067
194	0.2540028982
195	0.2533712493
196	0.2530435077
197	0.252544386
198	0.2520383674
199	0.2515158264
200	0.2510521937
201	0.2503303496
202	0.2496999163
203	0.2493230064
204	0.2483797435
205	0.247667753
206	0.2467397915
207	0.2460563928
208	0.2454876759
209	0.2446346712
210	0.244168601
211	0.2438025343
212	0.2430324468
213	0.2425450064
214	0.2421444855
215	0.2415818194
216	0.2410344016
217	0.2405559895
218	0.240031304
219	0.239500493
220	0.2389251959
221	0.2382806957
222	0.2377438583
223	0.2372758955
224	0.237112657
225	0.2365549141
226	0.2362483098
227	0.2359570088
228	0.2353572771
229	0.2349814058
230	0.2347816911
231	0.2341328862
232	0.2335821643
233	0.2332414512
234	0.2330146924
235	0.2319720494
236	0.2316015699
237	0.2312070001
238	0.2306980872
239	0.2304082594
240	0.2301014069
241	0.2297537167
242	0.2292903038
243	0.2289301026
244	0.2283371667
245	0.2276779143
246	0.2271680869
247	0.2266499397
248	0.2263498518
249	0.2260290895
250	0.225786742
251	0.225500613
252	0.2251172083
253	0.2242576875
254	0.2238145521
255	0.2233904901
256	0.2224566536
257	0.2219559152
258	0.2216619359
259	0.2212295018
260	0.2206128516
261	0.2204126534
262	0.2201700493
263	0.2199765638
264	0.2194281863
265	0.2189341615
266	0.218463958
267	0.2181370831
268	0.2176557297
269	0.2169069501
270	0.2166538814
271	0.2162557251
272	0.2160770341
273	0.2154223284
274	0.2146679466
275	0.214206995
276	0.2139033544
277	0.21342988
278	0.2129979064
279	0.2125455476
280	0.2120899729
281	0.2115120343
282	0.2111162773
283	0.2106740481
284	0.2103544362
285	0.2099102872
286	0.2095270409
287	0.2090911704
288	0.2087442587
289	0.2086530671
290	0.208370869
291	0.2079964283
292	0.2075736013
293	0.2071380239
294	0.2067632398
295	0.2065666456
296	0.2060245382
297	0.2057139033
298	0.2055069853
299	0.2050718154
300	0.204729754
301	0.2046216388
302	0.2041730933
303	0.2038238979
304	0.2034279182
305	0.2030500783
306	0.2025546249
307	0.2021730068
308	0.2018160608
309	0.2014603077
310	0.2013153809
