iter	Passed	Remaining
0	56	26359
1	57	13230
2	57	8852
3	57	6659
4	57	5338
5	58	4458
6	58	3829
7	58	3359
8	58	2992
9	59	2698
10	59	2457
11	59	2256
12	59	2087
13	60	1941
14	60	1815
15	60	1706
16	60	1610
17	61	1523
18	61	1447
19	61	1377
20	62	1315
21	62	1257
22	62	1205
23	62	1156
24	63	1112
25	63	1071
26	63	1033
27	63	998
28	64	966
29	64	935
30	64	907
31	64	880
32	65	855
33	65	831
34	65	808
35	65	787
36	66	766
37	66	747
38	66	729
39	66	712
40	67	695
41	67	680
42	67	665
43	67	650
44	68	636
45	68	623
46	68	610
47	68	599
48	69	587
49	69	576
50	69	565
51	69	555
52	69	545
53	70	535
54	70	526
55	70	517
56	70	508
57	71	500
58	71	491
59	71	484
60	71	476
61	72	469
62	72	462
63	72	455
64	72	448
65	72	442
66	73	435
67	73	429
68	73	423
69	73	418
70	74	412
71	74	407
72	74	401
73	74	397
74	75	392
75	75	387
76	75	382
77	75	377
78	76	373
79	76	368
80	76	364
81	76	360
82	77	356
83	77	352
84	77	348
85	78	344
86	78	340
87	78	337
88	78	333
89	79	330
90	79	326
91	79	323
92	79	320
93	80	316
94	80	313
95	80	310
96	80	307
97	81	304
98	81	301
99	81	298
100	81	295
101	81	292
102	82	289
103	82	286
104	82	283
105	82	281
106	83	278
107	83	276
108	83	273
109	83	271
110	84	268
111	84	266
112	84	264
113	84	262
114	85	260
115	85	257
116	85	255
117	85	253
118	86	251
119	86	249
120	86	247
121	86	245
122	87	242
123	87	240
124	87	238
125	87	236
126	88	234
127	88	233
128	88	231
129	88	229
130	89	227
131	89	226
132	89	224
133	89	222
134	90	220
135	90	219
136	90	217
137	91	216
138	91	214
139	91	213
140	91	211
141	92	210
142	92	208
143	92	207
144	92	205
145	93	204
146	93	202
147	93	201
148	94	200
149	94	198
150	94	197
151	94	195
152	95	194
153	95	193
154	95	191
155	95	190
156	96	189
157	96	187
158	96	186
159	96	185
160	97	184
161	97	182
162	97	181
163	97	180
164	98	179
165	98	177
166	98	176
167	98	175
168	99	174
169	99	172
170	99	171
171	99	170
172	100	169
173	100	168
174	100	167
175	100	166
176	101	165
177	101	164
178	101	163
179	101	162
180	102	161
181	102	160
182	102	159
183	103	158
184	103	157
185	103	156
186	103	155
187	104	154
188	104	153
189	104	152
190	104	151
191	105	150
192	105	149
193	105	148
194	105	147
