Model,Accuracy,Precision (Class 0),Recall (Class 0),F1 Score (Class 0),Precision (Class 1),Recall (Class 1),F1 Score (Class 1),Macro Avg Precision,Macro Avg Recall,Macro Avg F1
CatBoost,0.875,0.9024390243902439,0.8604651162790697,0.8809523809523809,0.8461538461538461,0.8918918918918919,0.868421052631579,0.874296435272045,0.8761785040854808,0.87468671679198
Gradient Boosting,0.8625,0.8333333333333334,0.9302325581395349,0.8791208791208791,0.90625,0.7837837837837838,0.8405797101449275,0.8697916666666667,0.8570081709616593,0.8598502946329033
Extra Trees Classifier,0.85,0.8163265306122449,0.9302325581395349,0.8695652173913043,0.9032258064516129,0.7567567567567568,0.8235294117647058,0.859776168531929,0.8434946574481459,0.8465473145780051
XGBoost,0.85,0.803921568627451,0.9534883720930233,0.8723404255319149,0.9310344827586207,0.7297297297297297,0.8181818181818182,0.8674780256930359,0.8416090509113765,0.8452611218568666
LightGBM,0.8375,0.8125,0.9069767441860465,0.8571428571428571,0.875,0.7567567567567568,0.8115942028985508,0.84375,0.8318667504714017,0.834368530020704
Random Forest,0.825,0.7735849056603774,0.9534883720930233,0.8541666666666666,0.9259259259259259,0.6756756756756757,0.78125,0.8497554157931517,0.8145820238843495,0.8177083333333333
Decision Tree,0.8125,0.8043478260869565,0.8604651162790697,0.8314606741573034,0.8235294117647058,0.7567567567567568,0.7887323943661971,0.8139386189258312,0.8086109365179133,0.8100965342617503
Ridge Classifier,0.8125,0.8043478260869565,0.8604651162790697,0.8314606741573034,0.8235294117647058,0.7567567567567568,0.7887323943661971,0.8139386189258312,0.8086109365179133,0.8100965342617503
Multi-Layer Perceptron (MLP),0.8125,0.7916666666666666,0.8837209302325582,0.8351648351648352,0.84375,0.7297297297297297,0.782608695652174,0.8177083333333333,0.8067253299811439,0.8088867654085046
Logistic Regression,0.8,0.8,0.8372093023255814,0.8181818181818182,0.8,0.7567567567567568,0.7777777777777778,0.8,0.7969830295411691,0.797979797979798
Linear Discriminant Analysis,0.8,0.7755102040816326,0.8837209302325582,0.8260869565217391,0.8387096774193549,0.7027027027027027,0.7647058823529411,0.8071099407504938,0.7932118164676305,0.7953964194373402
Naive Bayes,0.7875,0.7954545454545454,0.813953488372093,0.8045977011494253,0.7777777777777778,0.7567567567567568,0.7671232876712328,0.7866161616161615,0.7853551225644249,0.7858604944103291
Support Vector Machine,0.7875,0.76,0.8837209302325582,0.8172043010752689,0.8333333333333334,0.6756756756756757,0.746268656716418,0.7966666666666666,0.7796983029541169,0.7817364788958434
AdaBoost,0.775,0.7450980392156863,0.8837209302325582,0.8085106382978723,0.8275862068965517,0.6486486486486487,0.7272727272727273,0.786342123056119,0.7661847894406034,0.7678916827852997
K-Nearest Neighbors,0.7375,0.6964285714285714,0.9069767441860465,0.7878787878787878,0.8333333333333334,0.5405405405405406,0.6557377049180327,0.7648809523809523,0.7237586423632936,0.7218082463984103
