iter	Passed	Remaining
0	1	301
1	17	2157
2	18	1505
3	153	9431
4	287	14101
5	421	17135
6	547	19000
7	680	20581
8	688	18438
9	689	16545
10	722	15706
11	856	16994
12	986	17985
13	1018	17170
14	1153	18068
15	1155	16902
16	1163	15948
17	1296	16711
18	1298	15792
19	1307	15031
20	1441	15715
21	1587	16452
22	1596	15752
23	1731	16309
24	1732	15593
25	1736	14964
26	1867	15423
27	1998	15846
28	2131	16245
29	2260	16573
30	2261	15973
31	2396	16327
32	2527	16619
33	2527	16059
34	2536	15579
35	2667	15858
36	2800	16124
37	2933	16365
38	3064	16578
39	3127	16420
40	3257	16603
41	3391	16797
42	3525	16969
43	3659	17135
44	3675	16745
45	3812	16908
46	3813	16469
47	3948	16616
48	4079	16734
49	4213	16852
50	4213	16441
51	4348	16558
52	4483	16664
53	4615	16753
54	4743	16817
55	4875	16890
56	4940	16729
57	5005	16568
58	5142	16648
59	5274	16701
60	5398	16727
61	5539	16796
62	5676	16849
63	5807	16879
64	5943	16914
65	6071	16927
66	6200	16936
67	6326	16931
68	6330	16606
69	6466	16628
70	6471	16314
71	6604	16326
72	6737	16335
73	6737	16024
74	6870	16032
75	6997	16019
76	7131	16021
77	7267	16025
78	7401	16020
79	7534	16009
80	7677	16018
81	7741	15861
82	7875	15846
83	8008	15825
84	8136	15794
85	8267	15766
86	8402	15742
87	8403	15470
88	8537	15443
89	8670	15413
90	8813	15400
91	8946	15365
92	9075	15320
93	9104	15110
94	9169	14960
95	9169	14709
96	9297	14665
97	9430	14626
98	9561	14584
99	9693	14539
100	9824	14493
101	9959	14450
102	10091	14402
103	10220	14348
104	10349	14291
105	10482	14240
106	10614	14185
107	10739	14120
108	10877	14071
109	11011	14015
110	11141	13952
111	11274	13891
112	11403	13825
113	11534	13760
114	11664	13693
115	11794	13625
116	11927	13558
117	11989	13412
118	12117	13339
119	12117	13127
120	12249	13059
121	12380	12989
122	12516	12924
123	12650	12854
124	12655	12655
125	12784	12581
126	12918	12511
127	13047	12435
128	13177	12359
129	13308	12284
130	13441	12209
131	13503	12070
132	13631	11991
133	13662	11827
134	13796	11752
135	13925	11672
136	14060	11597
137	14203	11527
138	14338	11449
139	14464	11364
140	14465	11182
141	14473	11007
142	14602	10926
143	14736	10847
144	14867	10765
145	14994	10680
146	15129	10600
147	15277	10528
148	15413	10448
149	15544	10363
150	15677	10278
151	15740	10148
152	15871	10062
153	16001	9974
154	16133	9888
155	16142	9726
156	16278	9642
157	16406	9553
158	16534	9463
159	16667	9375
160	16800	9287
161	16924	9193
162	17052	9101
163	17187	9013
164	17321	8923
165	17329	8769
166	17460	8678
167	17598	8589
168	17729	8497
169	17863	8406
170	17995	8313
171	18129	8221
172	18260	8127
173	18387	8031
174	18516	7935
175	18524	7788
176	18660	7696
177	18791	7601
178	18853	7478
179	18990	7385
180	19122	7289
181	19258	7195
182	19390	7099
183	19526	7004
184	19659	6907
185	19794	6810
186	19927	6713
187	20059	6615
188	20195	6518
189	20331	6420
190	20461	6320
191	20597	6222
192	20725	6121
193	20858	6020
194	20991	5920
195	21123	5819
196	21253	5717
197	21391	5617
198	21523	5516
199	21655	5413
200	21791	5312
201	21943	5214
202	22072	5110
203	22208	5007
204	22340	4903
205	22465	4798
206	22597	4694
207	22730	4589
208	22864	4485
209	22997	4380
210	23133	4275
211	23266	4170
212	23398	4064
213	23527	3957
214	23664	3852
215	23803	3746
216	23936	3640
217	24070	3533
218	24198	3425
219	24330	3317
220	24462	3209
221	24591	3101
222	24723	2993
223	24860	2885
224	24993	2777
225	25128	2668
226	25260	2559
227	25393	2450
228	25526	2340
229	25660	2231
230	25790	2121
231	25916	2010
232	26047	1900
233	26181	1790
234	26315	1679
235	26448	1568
236	26582	1458
237	26712	1346
238	26716	1229
239	26848	1118
240	26980	1007
241	27116	896
242	27250	784
243	27382	673
244	27507	561
245	27641	449
246	27772	337
247	27905	225
248	27969	112
249	28101	0
